OTHER_COM1_118-325.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Comm 1 radio, to frequency, one one eight, point, tree two fife
OTHER_COM1_120-825.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Comm 1 radio, to frequency, one two zero, point, eight two fife
OTHER_COM1_124-350.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Comm 1 radio, to frequency, one two fower, point, tree fife zero
OTHER_COM1_126-175.wav: SK 5 8 0, SK 5 8 0, turn your Comm 1 radio, to frequency, one two six, point, one seven fife
OTHER_COM1_127-725.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Comm 1 radio, to frequency, one two seven, point, seven two fife
OTHER_COM1_128-525.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Comm 1 radio, to frequency, one two eight, point, fife two fife
OTHER_COM1_130-875.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Comm 1 radio, to frequency, one tree zero, point, eight seven fife
OTHER_COM1_132-950.wav: SK 5 8 0, SK 5 8 0, turn your Comm 1 radio, to frequency, one tree two, point, niner fife zero
OTHER_COM1_134-175.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Comm 1 radio, to frequency, one tree fower, point, one seven fife
OTHER_COM1_135-225.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Comm 1 radio, to frequency, one tree fife, point, two two fife
OTHER_COM2_118-275.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Comm 2 radio, to frequency, one one eight, point, two seven fife
OTHER_COM2_120-775.wav: SK 5 8 0, SK 5 8 0, turn your Comm 2 radio, to frequency, one two zero, point, seven seven fife
OTHER_COM2_124-500.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Comm 2 radio, to frequency, one two fower, point, fife zero zero
OTHER_COM2_126-025.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Comm 2 radio, to frequency, one two six, point, zero two fife
OTHER_COM2_127-675.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Comm 2 radio, to frequency, one two seven, point, six seven fife
OTHER_COM2_128-475.wav: SK 5 8 0, SK 5 8 0, turn your Comm 2 radio, to frequency, one two eight, point, fower seven fife
OTHER_COM2_130-725.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Comm 2 radio, to frequency, one tree zero, point, seven two fife
OTHER_COM2_132-800.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Comm 2 radio, to frequency, one tree two, point, eight zero zero
OTHER_COM2_134-025.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Comm 2 radio, to frequency, one tree fower, point, zero two fife
OTHER_COM2_135-175.wav: SK 5 8 0, SK 5 8 0, turn your Comm 2 radio, to frequency, one tree fife, point, one seven fife
OTHER_NAV1_108-350.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Nav 1 radio, to frequency, one zero eight, point, tree fife zero
OTHER_NAV1_109-250.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Nav 1 radio, to frequency, one zero niner, point, two fife zero
OTHER_NAV1_110-400.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Nav 1 radio, to frequency, one one zero, point, fower zero zero
OTHER_NAV1_111-950.wav: SK 5 8 0, SK 5 8 0, turn your Nav 1 radio, to frequency, one one one, point, niner fife zero
OTHER_NAV1_112-150.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Nav 1 radio, to frequency, one one two, point, one fife zero
OTHER_NAV1_113-000.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Nav 1 radio, to frequency, one one tree, point, zero zero zero
OTHER_NAV1_114-500.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Nav 1 radio, to frequency, one one fower, point, fife zero zero
OTHER_NAV1_115-750.wav: SK 5 8 0, SK 5 8 0, turn your Nav 1 radio, to frequency, one one fife, point, seven fife zero
OTHER_NAV1_116-450.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Nav 1 radio, to frequency, one one six, point, fower fife zero
OTHER_NAV1_117-650.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Nav 1 radio, to frequency, one one seven, point, six fife zero
OTHER_NAV2_108-750.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Nav 2 radio, to frequency, one zero eight, point, seven fife zero
OTHER_NAV2_109-650.wav: SK 5 8 0, SK 5 8 0, turn your Nav 2 radio, to frequency, one zero niner, point, six fife zero
OTHER_NAV2_110-800.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Nav 2 radio, to frequency, one one zero, point, eight zero zero
OTHER_NAV2_111-350.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Nav 2 radio, to frequency, one one one, point, tree fife zero
OTHER_NAV2_112-550.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Nav 2 radio, to frequency, one one two, point, fife fife zero
OTHER_NAV2_113-400.wav: SK 5 8 0, SK 5 8 0, turn your Nav 2 radio, to frequency, one one tree, point, fower zero zero
OTHER_NAV2_114-900.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Nav 2 radio, to frequency, one one fower, point, niner zero zero
OTHER_NAV2_115-050.wav: Citrus 2 1 1, Citrus 2 1 1, turn your Nav 2 radio, to frequency, one one fife, point, zero fife zero
OTHER_NAV2_116-850.wav: AC 5 1 7 1, AC 5 1 7 1, turn your Nav 2 radio, to frequency, one one six, point, eight fife zero
OTHER_NAV2_117-950.wav: SK 5 8 0, SK 5 8 0, turn your Nav 2 radio, to frequency, one one seven, point, niner fife zero
OWN_COM1_124-575.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two fower, point, fife seven fife
OWN_COM1_125-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two fife, point, fife zero zero
OWN_COM1_125-550.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two fife, point, fife fife zero
OWN_COM1_126-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two six, point, fower fife zero
OWN_COM1_126-525.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two six, point, fife two fife
OWN_COM1_127-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two seven, point, fife zero zero
OWN_COM1_127-550.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two seven, point, fife fife zero
OWN_COM1_128-475.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two eight, point, fower seven fife
OWN_COM1_128-575.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two eight, point, fife seven fife
OWN_COM1_129-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 1 radio, to frequency, one two niner, point, fower fife zero
OWN_COM2_124-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two fower, point, fower fife zero
OWN_COM2_125-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two fife, point, fife zero zero
OWN_COM2_125-575.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two fife, point, fife seven fife
OWN_COM2_126-475.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two six, point, fower seven fife
OWN_COM2_126-550.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two six, point, fife fife zero
OWN_COM2_127-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two seven, point, fife zero zero
OWN_COM2_127-525.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two seven, point, fife two fife
OWN_COM2_128-525.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two eight, point, fife two fife
OWN_COM2_128-550.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two eight, point, fife fife zero
OWN_COM2_129-575.wav: eesah 5 0 4, eesah 5 0 4, turn your Comm 2 radio, to frequency, one two niner, point, fife seven fife
OWN_NAV1_110-650.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one zero, point, six fife zero
OWN_NAV1_111-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one one, point, fife zero zero
OWN_NAV1_111-600.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one one, point, six zero zero
