OTHER_COM1_118-325.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Comm one radio to frequency one one eight point three two five.
OTHER_COM1_120-825.wav: ... Citrus two one one, Citrus two one one, turn your Comm one radio to frequency one two zero point eight two five.
OTHER_COM1_124-350.wav: ... AC five one seven one, AC five one seven one, turn your Comm one radio to frequency one two four point three five zero.
OTHER_COM1_126-175.wav: ... SK five eight zero, SK five eight zero, turn your Comm one radio to frequency one two six point one seven five.
OTHER_COM1_127-725.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Comm one radio to frequency one two seven point seven two five.
OTHER_COM1_128-525.wav: ... Citrus two one one, Citrus two one one, turn your Comm one radio to frequency one two eight point five two five.
OTHER_COM1_130-875.wav: ... AC five one seven one, AC five one seven one, turn your Comm one radio to frequency one three zero point eight seven five.
OTHER_COM1_132-950.wav: ... SK five eight zero, SK five eight zero, turn your Comm one radio to frequency one three two point nine five zero.
OTHER_COM1_134-175.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Comm one radio to frequency one three four point one seven five.
OTHER_COM1_135-225.wav: ... Citrus two one one, Citrus two one one, turn your Comm one radio to frequency one three five point two two five.
OTHER_COM2_118-275.wav: ... AC five one seven one, AC five one seven one, turn your Comm two radio to frequency one one eight point two seven five.
OTHER_COM2_120-775.wav: ... SK five eight zero, SK five eight zero, turn your Comm two radio to frequency one two zero point seven seven five.
OTHER_COM2_124-500.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Comm two radio to frequency one two four point five zero zero.
OTHER_COM2_126-025.wav: ... Citrus two one one, Citrus two one one, turn your Comm two radio to frequency one two six point zero two five.
OTHER_COM2_127-675.wav: ... AC five one seven one, AC five one seven one, turn your Comm two radio to frequency one two seven point six seven five.
OTHER_COM2_128-475.wav: ... SK five eight zero, SK five eight zero, turn your Comm two radio to frequency one two eight point four seven five.
OTHER_COM2_130-725.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Comm two radio to frequency one three zero point seven two five.
OTHER_COM2_132-800.wav: ... Citrus two one one, Citrus two one one, turn your Comm two radio to frequency one three two point eight zero zero.
OTHER_COM2_134-025.wav: ... AC five one seven one, AC five one seven one, turn your Comm two radio to frequency one three four point zero two five.
OTHER_COM2_135-175.wav: ... SK five eight zero, SK five eight zero, turn your Comm two radio to frequency one three five point one seven five.
OTHER_NAV1_108-350.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Nav one radio to frequency one zero eight point three five zero.
OTHER_NAV1_109-250.wav: ... Citrus two one one, Citrus two one one, turn your Nav one radio to frequency one zero nine point two five zero.
OTHER_NAV1_110-400.wav: ... AC five one seven one, AC five one seven one, turn your Nav one radio to frequency one one zero point four zero zero.
OTHER_NAV1_111-950.wav: ... SK five eight zero, SK five eight zero, turn your Nav one radio to frequency one one one point nine five zero.
OTHER_NAV1_112-150.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Nav one radio to frequency one one two point one five zero.
OTHER_NAV1_113-000.wav: ... Citrus two one one, Citrus two one one, turn your Nav one radio to frequency one one three point zero zero zero.
