OTHER_COM1_118-325.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Comm-ett radio på frekvens ett ett åtta punkt tre två fem.
OTHER_COM1_120-825.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Comm-ett radio på frekvens ett två noll punkt åtta två fem.
OTHER_COM1_124-350.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Comm-ett radio på frekvens ett två fyra punkt tre fem noll.
OTHER_COM1_126-175.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Comm-ett radio på frekvens ett två sex punkt ett sju fem.
OTHER_COM1_127-725.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Comm-ett radio på frekvens ett två sju punkt sju två fem.
OTHER_COM1_128-525.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Comm-ett radio på frekvens ett två åtta punkt fem två fem.
OTHER_COM1_130-875.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Comm-ett radio på frekvens ett tre noll punkt åtta sju fem.
OTHER_COM1_132-950.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Comm-ett radio på frekvens ett tre två punkt nio fem noll.
OTHER_COM1_134-175.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Comm-ett radio på frekvens ett tre fyra punkt ett sju fem.
OTHER_COM1_135-225.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Comm-ett radio på frekvens ett tre fem punkt två två fem.
OTHER_COM2_118-275.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Comm-två radio på frekvens ett ett åtta punkt två sju fem.
OTHER_COM2_120-775.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Comm-två radio på frekvens ett två noll punkt sju sju fem.
OTHER_COM2_124-500.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Comm-två radio på frekvens ett två fyra punkt fem noll noll.
OTHER_COM2_126-025.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Comm-två radio på frekvens ett två sex punkt noll två fem.
OTHER_COM2_127-675.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Comm-två radio på frekvens ett två sju punkt sex sju fem.
OTHER_COM2_128-475.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Comm-två radio på frekvens ett två åtta punkt fyra sju fem.
OTHER_COM2_130-725.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Comm-två radio på frekvens ett tre noll punkt sju två fem.
OTHER_COM2_132-800.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Comm-två radio på frekvens ett tre två punkt åtta noll noll.
OTHER_COM2_134-025.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Comm-två radio på frekvens ett tre fyra punkt noll två fem.
OTHER_COM2_135-175.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Comm-två radio på frekvens ett tre fem punkt ett sju fem.
OTHER_NAV1_108-350.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Nav-ett radio på frekvens ett noll åtta punkt tre fem noll.
OTHER_NAV1_109-250.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Nav-ett radio på frekvens ett noll nio punkt två fem noll.
OTHER_NAV1_110-400.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Nav-ett radio på frekvens ett ett noll punkt fyra noll noll.
OTHER_NAV1_111-950.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Nav-ett radio på frekvens ett ett ett punkt nio fem noll.
OTHER_NAV1_112-150.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Nav-ett radio på frekvens ett ett två punkt ett fem noll.
OTHER_NAV1_113-000.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Nav-ett radio på frekvens ett ett tre punkt noll noll noll.
OTHER_NAV1_114-500.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Nav-ett radio på frekvens ett ett fyra punkt fem noll noll.
OTHER_NAV1_115-750.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Nav-ett radio på frekvens ett ett fem punkt sju fem noll.
OTHER_NAV1_116-450.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Nav-ett radio på frekvens ett ett sex punkt fyra fem noll.
OTHER_NAV1_117-650.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Nav-ett radio på frekvens ett ett sju punkt sex fem noll.
OTHER_NAV2_108-750.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Nav-två radio på frekvens ett noll åtta punkt sju fem noll.
OTHER_NAV2_109-650.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Nav-två radio på frekvens ett noll nio punkt sex fem noll.
OTHER_NAV2_110-800.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Nav-två radio på frekvens ett ett noll punkt åtta noll noll.
