OTHER_COM1_118-325.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα ένα οκτώ τελεία τρία δύο πέντε.
OTHER_COM1_120-825.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο μηδέν τελεία οκτώ δύο πέντε.
OTHER_COM1_124-350.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο τέσσερα τελεία τρία πέντε μηδέν.
OTHER_COM1_126-175.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο έξι τελεία ένα επτά πέντε.
OTHER_COM1_127-725.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο επτά τελεία επτά δύο πέντε.
OTHER_COM1_128-525.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο οκτώ τελεία πέντε δύο πέντε.
OTHER_COM1_130-875.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα τρία μηδέν τελεία οκτώ επτά πέντε.
OTHER_COM1_132-950.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα τρία δύο τελεία εννέα πέντε μηδέν.
OTHER_COM1_134-175.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα τρία τέσσερα τελεία ένα επτά πέντε.
OTHER_COM1_135-225.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα τρία πέντε τελεία δύο δύο πέντε.
OTHER_COM2_118-275.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα ένα οκτώ τελεία δύο επτά πέντε.
OTHER_COM2_120-775.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα δύο μηδέν τελεία επτά επτά πέντε.
OTHER_COM2_124-500.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα δύο τέσσερα τελεία πέντε μηδέν μηδέν.
OTHER_COM2_126-025.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα δύο έξι τελεία μηδέν δύο πέντε.
OTHER_COM2_127-675.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα δύο επτά τελεία έξι επτά πέντε.
OTHER_COM2_128-475.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα δύο οκτώ τελεία τέσσερα επτά πέντε.
OTHER_COM2_130-725.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα τρία μηδέν τελεία επτά δύο πέντε.
OTHER_COM2_132-800.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα τρία δύο τελεία οκτώ μηδέν μηδέν.
OTHER_COM2_134-025.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα τρία τέσσερα τελεία μηδέν δύο πέντε.
OTHER_COM2_135-175.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο κομ δύο, στη συχνότητα ένα τρία πέντε τελεία ένα επτά πέντε.
OTHER_NAV1_108-350.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα μηδέν οκτώ τελεία τρία πέντε μηδέν.
OTHER_NAV1_109-250.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα μηδέν εννέα τελεία δύο πέντε μηδέν.
OTHER_NAV1_110-400.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα μηδέν τελεία τέσσερα μηδέν μηδέν.
OTHER_NAV1_111-950.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα ένα τελεία εννέα πέντε μηδέν.
OTHER_NAV1_112-150.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα δύο τελεία ένα πέντε μηδέν.
OTHER_NAV1_113-000.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα τρία τελεία μηδέν μηδέν μηδέν.
OTHER_NAV1_114-500.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα τέσσερα τελεία πέντε μηδέν μηδέν.
OTHER_NAV1_115-750.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα πέντε τελεία επτά πέντε μηδέν.
OTHER_NAV1_116-450.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα έξι τελεία τέσσερα πέντε μηδέν.
OTHER_NAV1_117-650.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο Nav ένα, στη συχνότητα ένα ένα επτά τελεία έξι πέντε μηδέν.
OTHER_NAV2_108-750.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα μηδέν οκτώ τελεία επτά πέντε μηδέν.
OTHER_NAV2_109-650.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα μηδέν εννέα τελεία έξι πέντε μηδέν.
OTHER_NAV2_110-800.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα μηδέν τελεία οκτώ μηδέν μηδέν.
OTHER_NAV2_111-350.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα ένα τελεία τρία πέντε μηδέν.
OTHER_NAV2_112-550.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα δύο τελεία πέντε πέντε μηδέν.
OTHER_NAV2_113-400.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα τρία τελεία τέσσερα μηδέν μηδέν.
OTHER_NAV2_114-900.wav: ...  άλφα τρία τρία τρία εννέα πέντε,  άλφα τρία τρία τρία εννέα πέντε, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα τέσσερα τελεία εννέα μηδέν μηδέν.
OTHER_NAV2_115-050.wav: ... Citrus δύο ένα ένα, Citrus δύο ένα ένα, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα πέντε τελεία μηδέν πέντε μηδέν.
OTHER_NAV2_116-850.wav: ... AC πέντε ένα επτά ένα, AC πέντε ένα επτά ένα, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα έξι τελεία οκτώ πέντε μηδέν.
OTHER_NAV2_117-950.wav: ... SK πέντε οκτώ μηδέν, SK πέντε οκτώ μηδέν, γυρίστε το ράδιο Nav δύο, στη συχνότητα ένα ένα επτά τελεία εννέα πέντε μηδέν.
OWN_COM1_124-575.wav: ... ίσα πέντε μηδέν τέσσερα, ίσα πέντε μηδέν τέσσερα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο τέσσερα τελεία πέντε επτά πέντε.
OWN_COM1_125-500.wav: ... ίσα πέντε μηδέν τέσσερα, ίσα πέντε μηδέν τέσσερα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο πέντε τελεία πέντε μηδέν μηδέν.
OWN_COM1_125-550.wav: ... ίσα πέντε μηδέν τέσσερα, ίσα πέντε μηδέν τέσσερα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο πέντε τελεία πέντε πέντε μηδέν.
OWN_COM1_126-450.wav: ... ίσα πέντε μηδέν τέσσερα, ίσα πέντε μηδέν τέσσερα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο έξι τελεία τέσσερα πέντε μηδέν.
OWN_COM1_126-525.wav: ... ίσα πέντε μηδέν τέσσερα, ίσα πέντε μηδέν τέσσερα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο έξι τελεία πέντε δύο πέντε.
OWN_COM1_127-500.wav: ... ίσα πέντε μηδέν τέσσερα, ίσα πέντε μηδέν τέσσερα, γυρίστε το ράδιο κομ ένα, στη συχνότητα ένα δύο επτά τελεία πέντε μηδέν μηδέν.
