OTHER_COM1_118-325.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 1 8, κόμμα, 3 2 5
OTHER_COM1_120-825.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 0, κόμμα, 8 2 5
OTHER_COM1_124-350.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 4, κόμμα, 3 5 0
OTHER_COM1_126-175.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 6, κόμμα, 1 7 5
OTHER_COM1_127-725.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 7, κόμμα, 7 2 5
OTHER_COM1_128-525.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 8, κόμμα, 5 2 5
OTHER_COM1_130-875.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 3 0, κόμμα, 8 7 5
OTHER_COM1_132-950.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 3 2, κόμμα, 9 5 0
OTHER_COM1_134-175.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 3 4, κόμμα, 1 7 5
OTHER_COM1_135-225.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 3 5, κόμμα, 2 2 5
OTHER_COM2_118-275.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 1 8, κόμμα, 2 7 5
OTHER_COM2_120-775.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 0, κόμμα, 7 7 5
OTHER_COM2_124-500.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 4, κόμμα, 5 0 0
OTHER_COM2_126-025.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 6, κόμμα, 0 2 5
OTHER_COM2_127-675.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 7, κόμμα, 6 7 5
OTHER_COM2_128-475.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 8, κόμμα, 4 7 5
OTHER_COM2_130-725.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 3 0, κόμμα, 7 2 5
OTHER_COM2_132-800.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 3 2, κόμμα, 8 0 0
OTHER_COM2_134-025.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 3 4, κόμμα, 0 2 5
OTHER_COM2_135-175.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 3 5, κόμμα, 1 7 5
OTHER_NAV1_108-350.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 0 8, κόμμα, 3 5 0
OTHER_NAV1_109-250.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 0 9, κόμμα, 2 5 0
OTHER_NAV1_110-400.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 0, κόμμα, 4 0 0
OTHER_NAV1_111-950.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 1, κόμμα, 9 5 0
